458,NWL,8.08B,0.89,1.95,17.37,19.09
460,BPMP,1.68B,13.71,18.28,18.13,15.90
441,NGG,43.35B,2.24,1.74,9.21,62.64
443,SJI,3.02B,1.72,2.09,657.14,32.11
445,SR,4.19B,2.15,1.83,722.65,82.54
447,TGLS,374.68M,0.88,2.20,8.52,8.11
449,FUN,3.12B,2.12,73.18,12.08,55.62
451,WMK,1.10B,0.31,1.04,7.09,40.57
453,FLR,2.62B,0.17,1.68,1.41,18.69
455,HVT,400.79M,0.50,1.47,4.48,20.14
457,LEG,6.68B,1.43,5.48,27.59,50.96
459,APA,9.92B,1.55,1.57,60.84,26.27
462,BSM,2.88B,4.56,3.23,1439.37,13.16
464,DKL,812.08M,1.34,-,126.89,32.20
466,ETRN,3.27B,2.06,2.90,21.28,13.02
468,KOS,2.21B,1.64,2.52,10.86,5.60
470,MUR,4.12B,1.43,0.75,9.48,26.53
472,OMP,587.50M,1.62,1.28,125.00,17.31
474,RTLR,2.68B,7.17,4.54,993.23,18.17
476,VNOM,1.61B,5.80,2.05,80.56,25.44
478,ARLP,1.40B,0.69,1.04,44.16,10.82
480,BHP,131.09B,2.96,2.93,8.35,54.81
461,BRY,794.41M,1.10,0.78,-,9.57
463,CNQ,38.15B,2.42,1.44,67.39,32.18
465,EPD,62.81B,1.85,2.55,52.01,28.51
467,FLMN,607.40M,7.43,2.48,233.62,7.14
469,MNRL,1.14B,13.29,16.50,44.03,20.63
471,NFG,4.05B,2.39,1.90,198.54,46.96
473,OXY,35.58B,1.89,1.29,7.35,40.15
475,SU,51.21B,1.80,1.48,32.18,32.90
477,MSM,4.30B,1.28,2.96,133.16,79.28
479,BBL,131.52B,2.97,2.52,8.38,47.12
482,CINR,358.27M,0.68,2.16,29.37,17.78
484,NEXA,1.14B,0.49,0.51,1.33,8.39
486,SLCA,444.01M,0.30,0.45,2.37,6.11
488,VEDL,8.01B,0.63,0.97,1.56,8.56
490,IBM,119.53B,1.55,6.66,11.04,134.91
492,ACGLP,10.22B,1.56,0.99,-,25.37
494,ESGRO,580.51M,0.26,0.13,-,27.05
496,FANH,1.67B,3.27,4.28,6.63,25.57
498,ORCC,7.29B,11.35,1.21,39.51,18.65
500,GSBD,881.28M,5.96,1.29,79.39,21.85
481,BTU,909.06M,0.19,0.32,1.20,9.34
483,CMP,2.05B,1.39,4.46,85.69,60.50
485,RIO,100.74B,2.44,2.46,10.47,59.49
487,VALE,71.29B,2.00,1.63,8.14,13.49
489,NLSN,7.22B,1.12,3.35,18.55,20.28
491,ACGLO,10.45B,1.60,1.01,-,25.93
493,AIZP,7.87B,0.81,1.36,-,126.86
495,ESGRP,589.10M,0.26,0.13,-,27.45
497,NTES,39.83B,4.15,4.37,4.55,306.28
499,BGCP,3.08B,1.48,2.85,7.44,5.96
502,VIRT,3.02B,1.93,1.95,8.12,16.08
504,AEG,9.76B,0.20,0.33,0.73,4.51
506,FFG,1.47B,1.98,0.97,113.18,58.95
508,MET,46.61B,0.68,0.70,2.40,51.24
510,PFG,15.28B,0.96,1.04,4.78,54.97
512,PUK,49.60B,0.74,1.90,7.93,37.61
514,PK,6.29B,2.31,0.84,19.58,26.46
516,WYND,4.68B,1.17,-,18.72,51.86
518,EVA,1.25B,1.91,3.06,519.76,37.17
520,POPE,406.72M,3.93,8.27,104.29,93.07
501,NMR,17.82B,0.95,0.68,0.63,5.11
503,SIG,1.11B,0.18,1.01,5.88,20.58
505,BHFAP,3.26B,0.32,0.17,-,27.51
507,ING,94.06B,2.91,0.79,0.40,12.01
509,MFC,39.33B,0.67,1.13,2.87,20.13
511,PRU,37.99B,0.59,0.58,2.08,94.01
513,GHG,1.18B,7.88,4.69,6.88,12.48
515,STAY,2.71B,2.21,3.38,5.53,14.75
517,CTT,560.16M,5.57,2.72,32.76,11.39
519,PCH,2.90B,3.45,2.36,30.59,43.29
522,WY,22.36B,3.37,2.60,146.15,29.99
524,CVX,225.09B,1.55,1.46,19.15,120.60
526,EC,41.14B,1.93,2.35,11.91,20.27
528,PTR,146.60B,0.42,0.52,6.96,49.66
530,RDS-B,240.22B,0.66,1.27,-,59.90
532,SSL,13.99B,0.98,0.87,12.53,21.70
534,XOM,299.53B,1.15,1.58,55.98,70.13
536,OUT,3.86B,2.21,3.54,66.26,26.94
538,TS,13.46B,1.76,1.12,7.24,22.69
540,BNS,67.89B,2.72,1.40,0.26,55.84
521,RYN,4.19B,6.00,2.94,73.69,32.42
523,BP,128.59B,0.45,1.32,6.49,37.98
525,E,56.45B,0.69,0.95,4.53,31.10
527,EQNR,65.55B,0.94,1.62,4.67,19.90
529,RDS-A,236.32B,0.65,1.25,15.33,58.87
531,SNP,84.91B,0.19,0.74,9.32,59.62
533,TOT,143.58B,0.80,1.24,4.60,55.11
535,NCMI,554.86M,1.28,-,10.20,7.22
537,PDCO,1.96B,0.35,1.31,15.12,20.30
539,BMO,49.13B,2.47,1.39,0.25,76.87
542,CM,36.92B,2.34,1.36,0.31,82.89
544,GWB,1.97B,3.62,1.04,8.07,34.87
546,TD,101.28B,3.17,1.62,0.34,55.93
548,ATAX,472.60M,5.67,1.39,11.58,7.84
550,HTGC,1.48B,5.83,1.36,-,14.17
